epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,156.857,1.06349,0.00961,0.00265,0.4958,0.82187,0.98047,0.96429,0.98587,0.5767,0.99871,0.98214,0.99482,0.99482,1.43506,0.00919,0.00025,0.67908,0.87703,0.00117556,0.00117556,0.00117556
40,160.988,1.02766,0.00808,0.0035,0.48838,0.81592,0.9821,0.97969,0.98959,0.58815,1,0.99755,0.995,0.995,1.33837,0.00936,0.0002,0.55481,0.86721,0.00115978,0.00115978,0.00115978
41,165.141,1.05408,0.00867,0.00293,0.5074,0.8059,0.99749,0.96429,0.98788,0.58673,0.99749,0.96429,0.99121,0.99121,1.42819,0.01407,0.00136,0.62876,0.87301,0.00114375,0.00114375,0.00114375
42,169.397,1.01833,0.00843,0.00349,0.48825,0.80036,0.95697,0.96429,0.96892,0.56723,0.99331,0.96429,0.99326,0.99326,1.36028,0.01117,0.0008,0.65028,0.86699,0.00112748,0.00112748,0.00112748
43,173.676,0.96711,0.00774,0.00452,0.48228,0.77419,0.98211,0.98014,0.98595,0.57057,1,0.99787,0.995,0.995,1.47719,0.00963,0.00013,0.60595,0.86857,0.00111097,0.00111097,0.00111097
44,177.825,0.9955,0.00756,0.00162,0.47569,0.81659,0.97937,0.96429,0.98551,0.55835,0.99751,0.98214,0.99466,0.99466,1.44596,0.00914,0.00011,0.60278,0.87461,0.00109424,0.00109424,0.00109424
45,182.176,1.01896,0.00764,0.00154,0.47,0.81655,0.97835,0.96429,0.98504,0.54115,1,0.97787,0.99389,0.99389,1.31539,0.00858,0.0002,0.68396,0.86092,0.0010773,0.0010773,0.0010773
46,186.48,1.06793,0.00905,0.00473,0.50017,0.81447,0.97874,0.96429,0.98407,0.59071,0.99695,0.98214,0.99362,0.99362,1.376,0.00768,0.00022,0.61469,0.86405,0.00106016,0.00106016,0.00106016
47,190.785,1.02446,0.00764,0.00035,0.48354,0.80123,1,0.99871,0.995,0.56847,1,0.99871,0.995,0.995,1.45006,0.00629,6e-05,0.61852,0.87394,0.00104284,0.00104284,0.00104284
48,194.902,1.05177,0.00773,0.0016,0.50311,0.80235,0.9801,0.96429,0.97554,0.56359,0.99825,0.98214,0.99433,0.99433,1.40962,0.00922,9e-05,0.55627,0.86882,0.00102534,0.00102534,0.00102534
49,199.236,1.04273,0.01236,0.00162,0.52011,0.79371,0.98006,0.96429,0.97711,0.55156,0.99821,0.98214,0.99403,0.99403,1.57401,0.01122,0.00011,0.60716,0.89416,0.00100767,0.00100767,0.00100767
50,203.461,1.02995,0.00832,0.00164,0.46442,0.82414,0.98056,0.96429,0.96887,0.57292,0.99875,0.98214,0.99433,0.99433,1.43848,0.00992,0.00025,0.62827,0.86983,0.000989861,0.000989861,0.000989861
51,207.545,0.93232,0.00769,0.00248,0.44372,0.76999,0.99821,0.98214,0.98895,0.57825,0.99821,0.98214,0.99482,0.99482,1.47596,0.00988,0.00016,0.67037,0.88063,0.000971909,0.000971909,0.000971909
52,211.79,0.97787,0.00699,0.00034,0.44675,0.80689,0.98009,0.96429,0.97155,0.53358,1,0.99832,0.995,0.995,1.48646,0.00864,7e-05,0.65632,0.89044,0.00095383,0.00095383,0.00095383
53,215.976,1.05536,0.00654,0.01078,0.47986,0.81462,0.98066,0.96429,0.96312,0.57278,1,0.99836,0.995,0.995,1.3335,0.00914,8e-05,0.59209,0.86824,0.000935637,0.000935637,0.000935637
54,220.119,0.98087,0.00732,0.01103,0.45868,0.8258,0.98071,0.96429,0.97855,0.56015,1,0.99827,0.995,0.995,1.42354,0.00897,0.00013,0.58035,0.87633,0.000917343,0.000917343,0.000917343
55,224.33,1.0294,0.00783,0.00967,0.46858,0.8303,0.98029,0.96429,0.97436,0.58246,0.99845,0.98214,0.99449,0.99449,1.31505,0.00697,0.00013,0.5995,0.86312,0.00089896,0.00089896,0.00089896
56,228.511,0.9584,0.00727,0.00053,0.44885,0.79748,1,0.9979,0.995,0.57692,1,0.9979,0.995,0.995,1.44828,0.00956,0.00027,0.55455,0.87286,0.0008805,0.0008805,0.0008805
57,232.676,0.90462,0.00709,0.00079,0.46818,0.80265,0.9995,0.98214,0.99418,0.54408,0.9995,0.98214,0.99418,0.99418,1.40411,0.01049,0.00021,0.5745,0.87518,0.000861977,0.000861977,0.000861977
58,236.787,0.96922,0.00789,0.00311,0.47453,0.79984,0.98177,0.96196,0.98023,0.53337,1,0.97981,0.99324,0.99324,1.43431,0.01324,0.00026,0.61026,0.87706,0.000843402,0.000843402,0.000843402
59,240.906,0.90661,0.00737,0.01475,0.44026,0.78883,0.99893,0.98214,0.99336,0.55277,0.99893,0.98214,0.99348,0.99348,1.34961,0.00969,0.00052,0.57878,0.87237,0.000824789,0.000824789,0.000824789
60,245.088,0.90819,0.00681,0.00247,0.43595,0.82228,0.99871,0.98214,0.99433,0.56446,0.99871,0.98214,0.99433,0.99433,1.32488,0.00771,0.00028,0.57217,0.86257,0.000806151,0.000806151,0.000806151
